NOMBRE;DEPORTE;TIPO;FECHA;PAIS;LUGAR;;
VELA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;12/26/2018 12:00:00 AM;USA;MIAMI- ESTADOS UNIDOS;;
VELA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;12/26/2018 12:00:00 AM;Chile;PUCÃ“N CHILE;;
BALONCESTO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;12/18/2018 12:00:00 AM;Colombia;TUNJA (BOYACA) COLOMBIA;;
TEJO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;12/14/2018 12:00:00 AM;Colombia;GIRARDOT CUNDINAMARCA;;
LUCHA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;12/13/2018 12:00:00 AM;Colombia;NECOCLI;;
MOTOCICLISMO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;12/09/2018 0:00;Colombia;CUNDINAMARCA;;
VELA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;12/08/2018 0:00;;TOMINÃ‰ - CNP;;
BADMINTON;CALENDARIO NACIONAL;CALENDARIO NACIONAL;12/06/2018 0:00;Colombia;ANTIOQUIA;;
LEV DE PESAS;CALENDARIO NACIONAL;CALENDARIO NACIONAL;12/04/2018 0:00;Colombia;CALI;;
TENIS DE MESA;NACIONAL;NACIONAL;12/04/2018 0:00;Colombia;SANTA MARTA-MAGDALENA;;
ACTIVIDADES SUBACUATICAS;CALENDARIO NACIONAL;CALENDARIO NACIONAL;12/03/2018 0:00;Colombia;BogotÃ¡;;
NATACION;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;12/03/2018 0:00;;Hangzhou-CHN;;
TENIS;INTERNACIONAL;INTERNACIONAL;12/03/2018 0:00;Colombia;BOGOTA;;
AUTOMOVILISMO;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;12/01/2018 0:00;Colombia;Tocancipa;;
GIMNASIA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;12/01/2018 0:00;;POR DEFINIR;;
