codigo,tipo,nombre,deporte,direccion,telefono,municipio,departamento,paginaweb,email,ubicacion,razonsocial,claseubicacion,localidadcomuna,descripcion,latitud,longitud,urlimagen
530,LIGAS,LIGA DE LUCHA DE NARIÑO,LUCHA,KR 29A N° 18-09,7311849,PASTO,NARIÑO,,,,,,,,1.218323473,-77.28014202,
2403,ESCENARIO,CANCHA DE BALONCESTO DEL BARRIO EL JARDIN,Recreativo y Deportivo,CL 29 A BIS N?29,5566409,CALI,VALLE DEL CAUCA,oscar.guerrero@cali.gov.co,oscar.guerrero@cali.gov.co,Otro,SECRETARIA DE RECREACION Y DEPORTE DE SANTIAGO DE CALI,Zona Urbana,COMUNA ONCE,CANCHA DE BALONCESTO,3.427834765,-76.51534129,http://www.visorgeocoldeportes.gov.co/images/escenarios/76001/923.png
2223,ESCENARIO,PISCINA DE LA LIGA DE ACTIVIDADES SUBACUATICAS,Deportivo,CL 5B N?34-51,5575833,CALI,VALLE DEL CAUCA,secretarialivas@livas.com.co,secretarialivas@livas.com.co,Complejo deportivo,LIGA DE ACTIVIDADES SUBACUATICAS DEL VALLE DEL CAUCA,Zona Urbana,COMUNA DIECINUEVE,PISCINA,3.43131683,-76.54154508,http://www.visorgeocoldeportes.gov.co/images/escenarios/76001/743.png
2320,ESCENARIO,CANCHA DE BALONCESTO DEL BARRIO CAMINO REAL,Recreativo y Deportivo,CL 11 CON KR 50 A,5566409,CALI,VALLE DEL CAUCA,oscar.guerrero@cali.gov.co,oscar.guerrero@cali.gov.co,Otro,SECRETARIA DE RECREACION Y DEPORTE DE SANTIAGO DE CALI,Zona Urbana,COMUNA DIECISIETE,CANCHA DE BALONCESTO,3.408229027,-76.53765045,http://www.visorgeocoldeportes.gov.co/images/escenarios/76001/840.png
611,LIGAS,LIGA DE CICLISMO DE SANTANDER,CICLISMO,CL 14 KR 33 VELODROMO ALFONSO FLOREZ,,BUCARAMANGA,SANTANDER,licisander@hotmail.com,licisander@hotmail.com,,,,,,7.134491046,-73.11572281,
1492,ESCENARIO,CANCHA DE MICROFUTBOL N°1 DE LA UNIDAD DEPORTIVA PANAMERICANA JAIME APARICIO,Deportivo,CL 9 N? 37A-01,5566412,CALI,VALLE DEL CAUCA,oscar.guerrero@cali.gov.co,oscar.guerrero@cali.gov.co,Complejo deportivo,SECRETARIA DE  RECREACION Y DEPORTES DE SANTIAGO DE CALI,Zona Urbana,COMUNA DIECINUEVE,CANCHA DE MICROFUTBOL,3.425550406,-76.53708598,http://www.visorgeocoldeportes.gov.co/images/escenarios/76001/12.png
1721,ESCENARIO,CANCHA DE MICROFUTBOL SINTETICA N°1 DEL PARQUE  DE LA CA?A,Recreativo,KR 8 N? 39 01,0,CALI,VALLE DEL CAUCA,www.cprcali.org,www.cprcali.org,Complejo recreativo,CORPORACION PARA LA RECREACION POPULAR,Zona Urbana,COMUNA SIETE,CANCHA DE MICROFUTBOL,3.454108585,-76.50678004,http://www.visorgeocoldeportes.gov.co/images/escenarios/76001/241.png
770,LIGAS,LIGA DE FUTBOL DEL VICHADA,FUTBOL,BARRIO EL RECREO,,PUERTO CARREÑO,VICHADA,luzmar.berom@gmail.com,luzmar.berom@gmail.com,,,,,,6.182415321,-67.48382071,
1236,ESCENARIO,CANCHA DE MICROFUTBOL DEL SENA,Deportivo,CL 24 Y 27 CON AV CIRCUNVALAR,7833315,MONTERÍA,CORDOBA,www.sena.edu.co,www.sena.edu.co,Establecimiento educativo,SERVICIO NACIONAL DE APRENDIZAJE,Zona Urbana,SIN COMUNAS,CANCHA DE MICROFUTBOL FOTO 030,8.748681167,-75.87929983,http://www.visorgeocoldeportes.gov.co/images/escenarios/23001/65.png
2296,ESCENARIO,CANCHA MULTIPLE DEL BARRIO PASO ANCHO,Recreativo y Deportivo,KR 41BIS CON CL 12B,5574204,CALI,VALLE DEL CAUCA,oscar.guerrero@cali.gov.co,oscar.guerrero@cali.gov.co,Otro,SECRETARIA DE RECREACION Y DEPORTE DE SANTIAGO DE CALI,Zona Urbana,COMUNA DIEZ,CANCHA MULTIPLE,3.417926633,-76.53281393,http://www.visorgeocoldeportes.gov.co/images/escenarios/76001/816.png
750,LIGAS,LIGA DE TAEKWONDO DE SAN ANDRES,TAEKWONDO,AV 20 DE JULIO  DGONAL A LA GOBERNACION  ALMACEN MATELECTRO,5133351,SAN ANDRÉS,SAN ANDRES PROVIDENCIA Y SANTA CATALINA,,,,,,,,12.57812014,-81.70350617,
2202,ESCENARIO,CANCHA DE TENIS DEL CLUB CAMPESTRE DE CALI,Recreativo y Deportivo,CL 5A CON KR 100,3336000,CALI,VALLE DEL CAUCA,directorrh@campestrecali.org,directorrh@campestrecali.org,Club,CLUB CAMPESTRE DE CALI,Zona Urbana,COMUNA VEINTIDOS,CANCHA DE TENIS,3.367318642,-76.54262281,http://www.visorgeocoldeportes.gov.co/images/escenarios/76001/722.png
314,LIGAS,LIGA DE FUTBOL DE BOYACA,FUTBOL,CL 18 N° 8-12 CENTRO,,TUNJA,BOYACA,ispsanchez@hotmail.com,ispsanchez@hotmail.com,,,,,,5.530409217,-73.36024917,
637,LIGAS,LIGA DE ATLETISMO DE SUCRE,ATLETISMO,CL 25 N° 18-101,,SINCELEJO,SUCRE,atlesucre@fecodatle.org,atlesucre@fecodatle.org,,,,,,9.299762153,-75.3959444,
900,ESCENARIO,CANCHA DE MINIFUTBOL BARRIO OLAYA,Deportivo,KR49eBARRIO OLAYA SECTOR FOCO ROJO,0,CARTAGENA DE INDIAS,BOLIVAR,www.idercartagenadeindias.info.co,www.idercartagenadeindias.info.co,Otro,INSTITUTO DISTRITAL DE DEPORTE Y RECREACION DE CARTAGENA - IDER,Zona Urbana,UNIDAD COMUNERA DE GOBIERNO 5,CANCHA DE MINIFUTBOL,10.41066367,-75.50179333,http://www.visorgeocoldeportes.gov.co/images/escenarios/13001/203.png
2489,ESCENARIO,PISTA DE TROTE DEL BARRIO POBLADO II,Recreativo y Deportivo,CL 72W CON KR 28D1,5566409,CALI,VALLE DEL CAUCA,oscar.guerrero@cali.gov.co,oscar.guerrero@cali.gov.co,Otro,SECRETARIA DE RECREACION Y DEPORTE DE SANTIAGO DE CALI,Zona Urbana,COMUNA TRECE,PISTA DE TROTE,3.42019715,-76.49118937,http://www.visorgeocoldeportes.gov.co/images/escenarios/76001/1009.png
468,LIGAS,LIGA DE KARATE DO DE GUAJIRA,KARATE DO,CL 15 N° 3-49  BARRI CAMILO TORRES,,RIOHACHA,LA GUAJIRA,,,,,,,,11.54575918,-72.90447165,
151,INDER,INDEPORTES MAGDALENA,,CL 18 18-46,4347485,SANTA MARTA,MAGDALENA,,lilianarocio2002@hotmail.com,,,,,,11.23784099,-74.19643789,
519,LIGAS,LIGA DE GIMNASIA DE NARIÑO,GIMNASIA,NIZA II BLOQUE 24 APT 304,3147301137,PASTO,NARIÑO,grjoseluis@yahoo.es,grjoseluis@yahoo.es,,,,,,1.20133952,-77.28127606,
1663,ESCENARIO,CANCHA DE MINIFUTBOL DEL BARRIO NUEVA BASE,Recreativo y Deportivo,KR 12 A CL 62,5566684,CALI,VALLE DEL CAUCA,oscar.guerrero@cali.gov.co,oscar.guerrero@cali.gov.co,Otro,SECRETARIA DE  RECREACION Y DEPORTES DE SANTIAGO DE CALI,Zona Urbana,COMUNA OCHO,CANCHA DE MINIFUTBOL,3.446985974,-76.49224452,http://www.visorgeocoldeportes.gov.co/images/escenarios/76001/183.png
1076,ESCENARIO,CANCHA DE BALONCESTO DEL COLEGIO DE BOYACA SECCION JOSE IGNACIO DE MARQUEZ,Deportivo,CL 21 9-08,7425833,TUNJA,BOYACA,webmaster@colboy.edu.co,webmaster@colboy.edu.co,Establecimiento educativo,COLEGIO DE BOYACA JOSE IGNACIO DE MARQUEZ,Zona Urbana,SIN COMUNAS,CANCHA DE BALONCESTO,5.534393184,-73.36060624,http://www.visorgeocoldeportes.gov.co/images/escenarios/15001/76.png
