N°,Departamento,Municipio,Deporte 1,Deporte 2,Deporte 3,Deporte 4,Edad,Género,Grupo étnico,Condición de discapacidad,Grupo Vulnerable,Día inscripción,"Mes
inscripción",Año inscripción
1,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Masculino,Ningún,Ninguna,Ningún,4,6,2.019
2,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,9,Masculino,Ningún,Ninguna,Ningún,7,6,2.019
3,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Femenino,Afro,Ninguna,Ningún,3,6,2.019
4,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Ningún,Ninguna,Ningún,10,6,2.019
5,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Femenino,Ningún,Ninguna,Ningún,3,6,2.019
6,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Masculino,Ningún,Ninguna,Ningún,3,6,2.019
7,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ningún,Ninguna,Ningún,5,6,2.019
8,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ningún,Ninguna,Ningún,7,6,2.019
9,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Indígena,Ninguna,Ningún,14,6,2.019
10,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Femenino,Ningún,Ninguna,Ningún,3,6,2.019
11,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,9,Femenino,Ningún,Ninguna,Ningún,3,6,2.019
12,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,9,Femenino,Ningún,Ninguna,Ningún,4,6,2.019
13,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Femenino,Ningún,Ninguna,Ningún,3,6,2.019
14,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Femenino,Ningún,Ninguna,Ningún,5,6,2.019
15,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ningún,Ninguna,Ningún,15,8,2.019
16,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Masculino,Ningún,Ninguna,Ningún,3,6,2.019
17,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ningún,Ninguna,Ningún,5,6,2.019
18,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Masculino,Ningún,Ninguna,Ningún,10,7,2.019
19,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,9,Masculino,Ningún,Ninguna,Ningún,4,6,2.019
20,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,13,Masculino,Ningún,Ninguna,Ningún,9,7,2.019
21,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,9,Masculino,Ningún,Ninguna,Ningún,7,6,2.019
22,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Ningún,Ninguna,Ningún,7,6,2.019
23,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ningún,Ninguna,Ningún,4,6,2.019
24,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,14,Masculino,Ningún,Ninguna,Campesino,8,8,2.019
25,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,9,Femenino,Ningún,Ninguna,Campesino,14,6,2.019
26,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,14,Masculino,Ningún,Ninguna,Ningún,9,7,2.019
27,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,13,Masculino,Ningún,Ninguna,Ningún,15,7,2.019
28,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Femenino,Ningún,Ninguna,Ningún,6,6,2.019
29,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Afro,Ninguna,Ningún,31,7,2.019
30,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Femenino,Ningún,Ninguna,Ningún,3,6,2.019
31,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,8,Masculino,Ningún,Ninguna,Ningún,11,6,2.019
32,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Ningún,Ninguna,Victíma del conflicto,21,5,2.019
33,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ningún,Ninguna,Ningún,12,7,2.019
34,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Femenino,Ningún,Ninguna,Ningún,4,6,2.019
35,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Afro,Ninguna,Ningún,8,8,2.019
36,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Ningún,Ninguna,Ningún,15,8,2.019
37,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Ningún,Ninguna,Ningún,15,8,2.019
38,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Ningún,Ninguna,Ningún,15,8,2.019
39,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Masculino,Afro,Ninguna,Ningún,31,7,2.019
40,CÓRDOBA,LORICA,BÉISBOL,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Afro,Ninguna,Ningún,5,6,2.019
41,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Ningún,Ninguna,Ningún,28,5,2.019
42,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Masculino,Ningún,Ninguna,Ningún,28,5,2.019
43,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,13,Masculino,Ningún,Ninguna,Ningún,28,5,2.019
44,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ningún,Ninguna,Ningún,15,7,2.019
45,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ningún,Ninguna,Ningún,28,5,2.019
46,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,14,Masculino,Ningún,Ninguna,Ningún,28,5,2.019
47,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Masculino,Ningún,Ninguna,Ningún,28,5,2.019
48,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,8,Masculino,Ningún,Ninguna,Ningún,28,5,2.019
49,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Masculino,Ningún,Ninguna,Ningún,14,6,2.019
50,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,7,Masculino,Ningún,Ninguna,Ningún,14,6,2.019
51,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,9,Masculino,Ningún,Ninguna,Ningún,14,6,2.019
52,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Ningún,Ninguna,Ningún,15,7,2.019
53,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,9,Masculino,Ningún,Ninguna,Ningún,28,5,2.019
54,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ningún,Ninguna,Ningún,28,5,2.019
55,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ningún,Ninguna,Ningún,15,7,2.019
56,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,11,Masculino,Ningún,Ninguna,Ningún,14,6,2.019
57,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Ningún,Ninguna,Ningún,15,7,2.019
58,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Ningún,Ninguna,Ningún,28,5,2.019
59,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,12,Masculino,Ningún,Ninguna,Ningún,15,7,2.019
60,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,10,Masculino,Ningún,Ninguna,Ningún,28,5,2.019
61,CÓRDOBA,CERETÉ,FÚTBOL SALA,NO INSCRIBIÓ,NO INSCRIBIÓ,NO INSCRIBIÓ,13,Masculino,Ningún,Ninguna,Ningún,14,6,2.019
